zip_code,type,primary_city,state,county,estimated_population,population_density,public_transit_pct,median_income,education_pct,median_home_value,density_score,transit_score,income_score,education_score,housing_score,composite_score,score_category
90808,STANDARD,Long Beach,CA,Los Angeles County,33131,2212.7,0.5119364780859844,131959.0,46.3,900100.0,88.92797454039611,1.012238036215469,52.47206917057409,54.470588235294116,64.66956726246472,53.16,Good (50-70)
90810,STANDARD,Long Beach,CA,Los Angeles County,27824,2104.7,4.902565367538234,82222.0,21.2,594200.0,89.46839066080882,9.693708794905142,26.29786920530673,24.941176470588232,82.6552210724365,44.22,Fair (30-50)
90813,STANDARD,Long Beach,CA,Los Angeles County,34994,6480.7,7.689241263232494,50302.0,15.9,543700.0,67.57153007816018,15.2037270432097,9.499902643364225,18.705882352941178,85.62441204139229,36.59,Fair (30-50)
90814,STANDARD,Long Beach,CA,Los Angeles County,13995,5989.9,1.8667103324054364,98070.0,55.9,898700.0,70.02742111425798,3.6909954299834755,34.6379122527273,65.76470588235294,64.75188146754468,49.11,Fair (30-50)
90815,STANDARD,Long Beach,CA,Los Angeles County,31234,2378.9,1.5534556968287736,116567.0,53.5,890500.0,88.09633417731654,3.071605582365984,44.371997074038404,62.94117647058823,65.23400752587018,53.55,Good (50-70)
91001,STANDARD,Altadena,CA,Los Angeles County,28725,1701.6,2.012808783165599,133840.0,52.1,1085000.0,91.48544379171963,3.9798719121683432,53.46194934297427,61.29411764705882,53.79821260583255,53.77,Good (50-70)
91006,STANDARD,Arcadia,CA,Los Angeles County,28021,1928.0,1.6095317725752507,127511.0,55.7,1187600.0,90.35257148003963,3.182483277591973,50.13129989527584,65.52941176470588,47.765757290686736,52.5,Good (50-70)
91007,STANDARD,Arcadia,CA,Los Angeles County,26674,2324.2,2.4792234094559675,101762.0,53.5,1231100.0,88.37004493459963,4.90210083233339,36.580834951558494,62.94117647058823,45.20813734713076,47.91,Fair (30-50)
91008,STANDARD,Duarte,CA,Los Angeles County,879,151.2,4.116222760290557,137500.0,59.3,1704200.0,99.2434174314222,8.138895003301784,55.3880319750767,69.76470588235294,17.391815616180622,50.87,Good (50-70)
91010,STANDARD,Duarte,CA,Los Angeles County,20593,1635.7,1.909969884292281,98189.0,30.9,691600.0,91.81519770223072,3.7765313621233734,34.70053625087489,36.35294117647059,76.92850423330198,47.49,Fair (30-50)
91011,STANDARD,La Canada Flintridge,CA,Los Angeles County,18197,688.9,1.0354159312860336,221451.0,75.5,2000000.0,96.55284569118221,2.047299682315566,99.56742078590486,88.8235294117647,0.0,61.89,Good (50-70)
91016,STANDARD,Monrovia,CA,Los Angeles County,31187,1899.6,2.3016556608287875,99555.0,43.9,874100.0,90.4946809042963,4.5510009657296475,35.419396599359025,51.64705882352941,66.19825964252117,49.26,Fair (30-50)
91020,STANDARD,Montrose,CA,Los Angeles County,5930,3904.1,0.0,60899.0,50.9,880700.0,80.46445763237693,0.0,15.076595991011615,59.882352941176464,65.81020696142991,43.97,Fair (30-50)
91024,STANDARD,Sierra Madre,CA,Los Angeles County,8990,1217.5,4.81128867732064,141094.0,65.4,1172200.0,93.90780901293996,9.513229884702172,57.27938196955106,76.94117647058825,48.671213546566314,58.8,Good (50-70)
91030,STANDARD,South Pasadena,CA,Los Angeles County,20953,2958.8,3.545850301923887,128105.0,72.7,1545100.0,85.19459984187824,7.011113096985866,50.443893633928525,85.52941176470588,26.74623706491063,53.17,Good (50-70)
91040,STANDARD,Sunland,CA,Los Angeles County,16036,994.8,0.6734006734006733,104719.0,31.4,787000.0,95.02216706864286,1.3314967860422402,38.13696236771339,36.94117647058823,71.31937911571025,47.49,Fair (30-50)
91042,STANDARD,Tujunga,CA,Los Angeles County,20436,209.8,2.5826526643329446,81707.0,29.1,801800.0,98.95019164756863,5.106608677203776,26.026849381390676,34.23529411764706,70.4492003762935,44.76,Fair (30-50)
91101,STANDARD,Pasadena,CA,Los Angeles County,13258,6326.5,5.288270377733598,94180.0,62.7,687300.0,68.34312420563833,10.456352792336885,32.590791641011876,73.76470588235294,77.181326434619,53.85,Good (50-70)
91103,STANDARD,Pasadena,CA,Los Angeles County,18714,2095.7,3.6561007381676074,84683.0,37.7,960000.0,89.51342533750989,7.229108277740496,27.592975587165764,44.35294117647059,61.147695202257765,44.73,Fair (30-50)
91104,STANDARD,Pasadena,CA,Los Angeles County,27268,3644.7,4.3255009209130995,103052.0,51.3,1022600.0,81.76245709196081,8.552695002714536,37.259700141561815,60.35294117647059,57.46707431796801,49.44,Fair (30-50)
91105,STANDARD,Pasadena,CA,Los Angeles County,9563,1154.5,2.010516548097742,156835.0,73.3,1615700.0,94.22305174984739,3.9753395382841705,65.56311604384733,86.23529411764706,22.595249294449673,57.2,Good (50-70)
91106,STANDARD,Pasadena,CA,Los Angeles County,17783,3299.5,4.543791614838662,89213.0,63.2,966700.0,83.48978713609479,8.98431523843099,29.976897533456476,74.3529411764706,60.75376293508937,52.1,Good (50-70)
91107,STANDARD,Pasadena,CA,Los Angeles County,26912,1503.8,2.6367299942429474,124880.0,58.9,1106600.0,92.47520590854958,5.213534306798554,48.746730658920235,69.29411764705881,52.52822201317027,54.67,Good (50-70)
